Producto	Precio	Stock	Categoría	Código de Barras
Acetona Jaloma	70	4	Cuidado Personal	759684431050
Aciclovir 400 mg 35 tabletas AMSA	450	2	GENERICO	7501349028791
Aciclovir 400 mg 35 TABS Lesaclor	450	0	GENERICO	785120753530
Aciclovir Crema 5% Lesaclor	150	2	GENERICO	785118753597
ADerogyl Solucion Ampolletas C5	320	5	PATENTE	7501165003040
Advil Ibuprofeno 200 mg c10 Tabletas	180	1	OTC	7501108763475
Advil Ibuprofeno 200 mg c12 Tabletas	180	1	OTC	7501065013767
Advil Ibuprofeno 400 mg c10 Tabletas	180	2	OTC	7501108767527
Agrifen c10 Tabletas Antigripal	180	3	OTC	7501125116810
Agua CIEL 1L	35	12	Bebidas
Agua mineral Peñafiel 355ml	25	19	Bebidas
Agua Mineral Perrier 330ml	90	12	Bebidas
Agua Oxigenada 100 ML Nadro	40	7	OTC	7501048350841
Agua Purificada - 500ml	20	28	Bebidas
Alcohol Etilico 70 grados Nadro	40	10	OTC	7501048350537
Alfa - Tadalafil c/4 - 20mg	650	6	GENERICO	7502216791138
Alka-Seltzer 12 Tabletas Bayer	120	1	OTC	7501008443033
Aloe Vera Gel 200 Mg	290	0	Cuidado Personal	7502009748264
Ambroxol 0.300 G Mucibron	160	0	OTC	7501075713459
Ambroxol Mucoangin 18 Pastillas Sabor Limon	220	0	OTC	7501165011427
Amlodipino 5 Mg 10 Tabletas	250	0	GENERICO	7502216793231
Amlodipino 5 mg c 100 Beadvance	600	3	GENERICO	7501342803630
Amoxicilina 250MG 12 CAPS VANDIX	280	0	GENERICO	7503001007281
Amoxicilina 500mg 60 Capsulas Gilmaxina	420	20	GENERICO	780083144876
Amoxicilina 500mg 90 Capsulas Gilmaxina	540	16	GENERICO	780083148379
Amoxicilina, Acido Clavulanico 500MG-125 12 TABS	480	0	GENERICO	7502009745010
Amoxicilina, Acido Clavulonico 12 H 10 Tabletas Gimaclav	720	1	GENERICO	780083149185
Antiflu-Des c24 Capsulas Antigripal	220	0	Cuidado Personal	7501088509773
Antiflu-Des Jr Jarabe Infantil	320	5	GENERICO	7501088509766
Aqua Net Extra Fijacion 100 Ml Ceramidas y Keratina	140	3	OTC	7502251480158
Ardosons c20 Capsulas	520	5	GENERICO	7502001162426
Arizona 460ml	35	18	Bebidas
Aspirina Acido Acetilsalicilico 40 Tabletas	180	1	OTC	7501008491966
Atenolol 100 mg 100 tabletas Internol	420	7	GENERICO	656599020174
Atorvastatina 20 Mg 10 mg Atorlip	280	1	GENERICO	785120754810
Axe Apollo 72 h Antitranspirante	140	1	OTC	7791293020297
Axe Conviction 48 h Fragancia	140	3	OTC	7506306226739
Azitromicina 500MG C/6 Zertalin	540	0	GENERICO	780083143176
Azitromicina C3 Tabletas 500 mg Charyn	300	1	GENERICO	7502240450018
Azitromicina c4 Tabletas 250 mg	250	0	GENERICO	7502240450025
Azitromicina c6 500 mg Zinotram	520	0	GENERICO	656599024677
Azitromicina c6 Samitrogen	540	15	GENERICO	7501842900150
Azitromicina C9 500MG Zertalin	630	9	GENERICO	780083149338
Azitromicina c9 Tabletas Zinotram	630	0	GENERICO	656599024684
Bactiver Sulfametoxazol, Trimetoprima Bactiver 14 Tabletas	320	3	GENERICO	7503000422283
Bactiver Sulfametoxazol, Trimetoprina 400mg-80mg	270	8	GENERICO	7503000422238
Benadryl Jarabe 120 ML	290	1	PATENTE	7702134108104
Bepanthen Contra rozaduras	150	2	Cuidado Personal	7501008427347
Bepanthen Pomada regeneradora	150	2	Cuidado Personal	7501008498798
Betametasona/ Gentamicina/ Clotrimazol Beadvence	180	2	GENERICO	780083147792
Betametasona/ Gentemicina / Clotrimazol Gelmicin	180	0	GENERICO	780083148966
Bimatapros 3ml Mictrobil	680	9	GENERICO	7502231320696
BIOMITIN Difenidol 25 mg c30 tabletas	220	1	GENERICO	7501563370614
Broncolin Pastillas Sabor Cereza	200	0	OTC	714706910913
Broncolin Pastillas Sabor Eucalipto	200	0	OTC	714706910487
Broncolin Pastillas Sabor Limon	200	0	OTC	714706910890
Broncolin Pastillas Sabor Naranja	200	1	OTC	714706910906
Buscapina c24 Hioscina 10mg	390	1	OTC	7501165011649
Buscapina Duo c20 Hioscina Paracetamol	440	2	OTC	7502321440006
Buscapina Fem c10 Tabletas Hioscina/Ibuprofeno	260	1	PATENTE	7501165011656
Cafi Aspirina c40 500 mg/30	180	2	OTC	7501008433676
Canesten V Ovulos 200mg c3	350	1	GENERICO	7501318646223
Carisoprodol - Naproxeno 30 cápsulas 200 mg / 250 mg	420	8	GENERICO	7501836003140
Cefalexina 500MG 20 Capsulnas Cefalver	300	18	GENERICO	7502009740480
Cefalexina Cefalver 500 mg 12 Capsulas	280	0	GENERICO	7503000422863
Cefixima 100/5ml Biomics 100Ml	1900	2	PATENTE	7501314701360
Celecoxib 200 mg Capsulas c10	280	2	GENERICO	7502216805361
Celecoxib 200 mg Capsulas c30	550	2	GENERICO	7502216805385
Cepillo de dientes duo Colgate	80	0	Cuidado Personal	7509546074320
Cepillo de dientes Oral B	60	6	Cuidado Personal	7501086494286
Cetirizina 10Mg C10 Tabletas Visertral	290	1	GENERICO	7501258205863
Chrisale Tadalafil 20 mg C1	200	4	GENERICO	7502216808614
Chrisale Tadalafil 20mg C4 Tabletas	800	0	GENERICO	7502216808638
Chrisale Tadalafil 5mg C28 Tabletas	2200	1		7502216808669
Cialis Tadalafil 20 Mg C4 Patente	3000	1	PATENTE	7501082212136
Cialis Tadalafil 20 mg Original	900	1	PATENTE	7501082212143
Ciclobenzaprina Bencoprim 10 Mg 100 Tabletas	550	0	GENERICO	7501258213592
Ciclobenzaprina Cessabit C120 Duo	700	5	GENERICO	7257427627041
Ciprofloxacino 500mg 10 tabletas Ciprain	280	0	GENERICO	7503000422436
